"iteration","pip"
1,0.159516666666667
2,0.117356666666667
3,0.337633333333333
4,0.142976666666667
5,0.2066
6,0.402736666666667
7,0.13727
8,0.115116666666667
9,0.109346666666667
10,0.141016666666667
11,0.13092
12,0.16109
13,0.51647
14,0.161513333333333
15,0.111333333333333
16,0.129363333333333
17,0.126973333333333
18,0.204936666666667
19,0.142903333333333
20,0.161656666666667
21,0.110606666666667
22,0.14379
23,0.251433333333333
24,0.10909
25,0.15187
26,0.108373333333333
27,0.27717
28,0.268863333333333
29,0.14829
30,0.116473333333333
31,0.211773333333333
32,0.114243333333333
33,0.23
34,0.12037
35,0.211426666666667
36,0.10843
37,0.429533333333333
38,0.254696666666667
39,0.517816666666667
40,0.13128
41,0.107336666666667
42,0.112473333333333
43,0.67941
44,0.131666666666667
45,0.1601
46,0.108696666666667
47,0.26893
48,0.561706666666667
49,0.186623333333333
50,0.142216666666667
