"","LOCATION","Country","FAMILY","Family.type","DURATION","Unemployment.duration..months.","EARNINGS","Previous.in.work.earnings","SATOPUPS","Include.social.assistance.benefits","HBTOPUPS","Include.housing.benefits","TIME","Year","Value","Flag.Codes","Flags"
"48","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2003,2003,56,NA,NA
"49","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2004,2004,53,NA,NA
"50","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2005,2005,52,NA,NA
"51","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2006,2006,49,NA,NA
"52","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2007,2007,49,NA,NA
"53","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2008,2008,49,NA,NA
"54","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2009,2009,49,NA,NA
"55","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2010,2010,49,NA,NA
"56","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2011,2011,50,NA,NA
"57","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2012,2012,51,NA,NA
"58","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2013,2013,51,NA,NA
"59","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2014,2014,50,NA,NA
"60","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2015,2015,49,NA,NA
"61","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2016,2016,49,NA,NA
"62","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2017,2017,48,NA,NA
"63","CAN","Canada","SINGLE","Single person without children",5,5,"AW","Average Wage",1,"Yes",1,"Yes",2018,2018,47,NA,NA
